timestamp,ax,ay,az,gx,gy,gz,label
0,0.0149,0.0867,1.0097,5.4138,-0.1054,2.3298,1
20,0.1220,0.1056,1.0026,4.7901,0.3165,2.2535,1
40,0.1518,0.0329,0.9924,4.0213,0.5782,2.4670,1
60,0.1781,0.0317,1.0469,4.0485,1.5413,1.9114,1
80,0.2370,0.0509,1.0117,4.1688,1.6709,2.2042,1
100,0.2673,0.0723,1.0297,3.0059,2.6817,1.8652,1
120,0.3057,-0.0414,1.0078,3.3985,2.9429,2.2100,1
140,0.2912,-0.0241,1.0004,2.4365,2.6217,2.3906,1
160,0.2818,-0.0806,1.0200,2.1802,2.6554,2.1600,1
180,0.2621,-0.0350,0.9934,1.7305,3.1488,2.1610,1
200,0.1620,-0.0773,0.9796,0.6729,3.3125,2.1564,1
220,0.1083,-0.0596,0.9923,0.4561,2.9656,2.0822,1
240,0.0365,-0.0517,0.9396,0.7757,2.6118,1.3932,1
260,-0.0348,-0.1370,0.9699,-0.0683,2.9278,1.1810,1
280,-0.1347,-0.0957,0.9840,-0.6460,1.6447,1.3365,1
300,-0.1734,-0.0496,0.9600,-1.5872,1.2688,0.5828,1
320,-0.2223,-0.0511,0.9740,-2.0568,0.3259,0.7292,1
340,-0.2817,-0.0576,0.9776,-2.1688,1.2995,0.7364,1
360,-0.2870,-0.0187,0.9595,-2.8843,-0.0483,1.2478,1
380,-0.3052,0.0129,0.9972,-3.9816,-0.0849,0.5563,1
400,-0.2616,0.0060,1.0285,-4.4817,-0.8403,0.8078,1
420,-0.2830,0.0346,1.0179,-4.2455,-2.2733,-0.0096,1
440,-0.2372,0.0770,1.0098,-3.2540,-2.3505,-0.3075,1
460,-0.1201,0.0493,1.0317,-3.5743,-3.0822,-0.3349,1
480,-0.0668,0.1059,1.0114,-5.2568,-2.4120,-0.4785,1
500,0.0075,0.0983,1.0183,-4.3606,-2.7213,-0.9559,1
520,0.1306,0.0985,1.0062,-4.0706,-3.4100,-0.6753,1
540,0.1793,0.0592,1.0315,-4.1110,-2.6279,-0.5071,1
560,0.1980,0.0475,0.9948,-4.6735,-2.9665,-1.1323,1
580,0.2616,0.0681,0.9987,-3.0713,-2.8943,-0.5701,1
600,0.3041,0.0072,0.9729,-3.3511,-2.6335,-1.3156,1
620,0.3136,0.0039,0.9679,-4.1893,-2.4135,-1.4078,1
640,0.3011,-0.0468,0.9769,-2.6372,-2.2215,-1.7441,1
660,0.2732,-0.0658,0.9760,-2.0747,-0.8914,-1.5894,1
680,0.1898,-0.0799,0.9779,-1.6077,-0.6594,-0.8542,1
700,0.1935,-0.0456,0.9872,-0.9997,-0.5179,-1.8754,1
720,0.0873,-0.0894,0.9711,-0.7941,1.1923,-2.7444,1
740,0.0582,-0.1280,0.9791,0.3708,0.7017,-2.5763,1
760,-0.0591,-0.0730,0.9845,0.4124,1.1946,-2.5043,1
780,-0.0461,-0.0685,0.9749,0.9551,1.3414,-2.0959,1
800,-0.2001,-0.0756,1.0220,1.9100,1.5135,-2.4814,1
820,-0.2454,-0.0730,1.0486,2.1590,1.8373,-2.1216,1
840,-0.2078,-0.0135,1.0047,2.1207,3.2516,-2.6115,1
860,-0.2814,0.0017,1.0160,2.8327,1.4170,-2.6952,1
